

 TITLE = "Fragments Sinked in Time"

 VARIABLES = "iSpc", "R", "Xi", "Xj", "Xk", "Vi", "Vj", "Vk", "Wi", "Wj", "Wk" 



 ZONE T=" 0.10000000D+00" I =   187 F = "POINT" 
 01  0.10000000D+00  0.51836800D-01 -0.82372080D+00  0.10852930D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.42194440D-01  0.14736870D+01  0.17277080D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.57567720D+00  0.28797620D+00  0.90316210D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.52607100D+00  0.47730410D+00  0.98253590D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.18472500D+01  0.46288400D+00  0.19200490D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.16809180D+01 -0.48459320D+00  0.19779290D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.23239360D+00 -0.18520680D+01  0.20978390D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.13970930D+01 -0.10872280D+01  0.19773440D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.14332660D+01  0.10073260D+01  0.18247950D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.19916510D+00 -0.65769540D+00  0.90115370D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.17159740D+01 -0.60741500D+00  0.20449920D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.71147580D-01 -0.21059560D+01  0.21411380D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.31228560D+00  0.15313250D+01  0.16551110D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.62032040D+00  0.59615840D+00  0.10495390D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00  0.16629140D+01 -0.99794820D+00  0.19530220D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
 01  0.10000000D+00 -0.10595580D+01 -0.19605790D-02  0.10862260D+01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
